SA2_MAINCODE_2016,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85,F_Tot_LF_Tot,F_N_the_LF_15_19,F_N_the_LF_20_24,F_N_the_LF_25_34,F_N_the_LF_35_44,F_N_the_LF_45_54,F_N_the_LF_55_64,F_N_the_LF_65_74,F_N_the_LF_75_84,F_N_the_LF_85,F_N_the_LF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85,P_Tot_LF_Tot,P_N_the_LF_15_19,P_N_the_LF_20_24,P_N_the_LF_25_34,P_N_the_LF_35_44,P_N_the_LF_45_54,P_N_the_LF_55_64,P_N_the_LF_65_74,P_N_the_LF_75_84,P_N_the_LF_85,P_N_the_LF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501011001,56,58,182,268,282,267,81,13,3,1218,42,12,50,65,49,138,210,127,54,752,11,3,24,34,32,35,24,16,12,186,108,76,260,369,358,438,311,156,67,2150,19,43,169,299,308,243,67,13,4,1172,81,39,146,213,207,239,105,22,3,1051,9,7,26,31,22,28,17,5,0,138,4,4,4,11,13,7,3,4,0,54,118,89,342,550,553,523,193,40,4,2415,3,6,11,11,25,12,3,0,0,73,4,7,10,14,7,3,3,0,0,44,6,9,17,27,35,12,7,0,0,115,122,102,366,574,588,538,203,40,4,2535,86,27,64,100,88,238,429,238,90,1353,21,15,45,72,67,67,46,26,16,373,232,143,470,750,733,840,675,301,110,4264
501011002,456,424,901,1337,1444,979,191,19,0,5737,303,131,386,348,286,661,1205,781,355,4450,40,41,91,99,111,105,117,119,114,836,799,592,1377,1785,1837,1733,1511,921,468,11025,189,495,1088,1465,1495,918,136,16,0,5790,516,274,560,899,929,821,283,31,3,4316,36,24,90,92,117,100,39,3,0,505,20,21,28,25,46,26,16,6,3,185,754,813,1765,2484,2581,1864,475,55,5,10796,63,55,86,83,83,98,4,0,0,470,69,28,53,53,39,39,14,0,0,292,128,86,136,142,119,137,17,0,0,769,884,897,1900,2630,2703,2000,493,55,5,11561,650,194,477,445,445,1012,2197,1387,579,7390,80,66,196,194,204,222,222,200,164,1550,1615,1156,2573,3267,3354,3232,2906,1651,746,20503
501011003,117,130,437,615,534,402,103,16,7,2356,83,14,130,149,104,202,384,150,38,1253,10,17,49,59,40,56,31,10,4,278,208,157,611,823,681,669,511,172,50,3885,53,136,485,642,679,384,85,14,0,2471,149,88,296,482,406,364,130,14,5,1932,15,10,69,59,38,49,19,0,0,256,11,8,11,16,14,8,6,0,0,81,228,238,855,1204,1129,812,237,27,5,4738,10,9,20,29,24,24,0,0,0,121,21,6,10,13,7,29,5,0,0,93,29,17,30,45,33,56,8,0,0,210,254,255,884,1242,1166,866,246,29,5,4952,190,22,152,181,153,340,707,308,79,2138,22,31,90,105,80,112,69,27,10,549,461,309,1129,1529,1403,1320,1028,365,95,7641
501011004,121,126,527,590,495,353,58,5,7,2283,72,15,129,155,71,153,224,115,57,999,25,19,49,49,42,46,36,14,3,284,218,162,704,787,605,554,318,138,68,3559,42,125,549,602,543,314,52,3,0,2236,163,92,363,468,351,315,84,11,5,1845,9,17,57,65,38,35,8,5,0,231,9,4,19,17,8,9,0,0,0,74,226,233,983,1152,942,665,151,15,5,4378,5,10,28,38,28,21,3,0,0,139,12,6,15,14,19,18,10,0,0,91,19,17,43,54,48,43,8,3,0,233,244,251,1026,1208,988,711,163,18,5,4609,173,26,155,187,122,253,410,209,94,1629,43,26,97,95,109,100,78,27,6,579,459,308,1276,1485,1219,1066,643,256,103,6818
501021005,326,293,783,927,938,586,92,5,0,3951,184,66,350,236,195,390,538,255,73,2279,33,25,60,64,69,55,51,35,19,408,546,382,1187,1223,1200,1038,679,289,88,6639,127,385,990,1084,1175,658,71,0,0,4491,355,173,430,562,509,396,129,13,0,2579,23,21,85,52,63,74,7,0,0,325,10,11,28,27,24,16,0,0,0,109,514,583,1528,1724,1772,1149,213,18,0,7506,51,56,87,80,76,55,3,0,0,409,77,32,43,48,34,39,6,0,0,279,123,81,128,132,112,97,13,0,0,687,640,665,1658,1857,1885,1243,224,18,0,8194,447,104,378,297,258,602,1008,488,133,3712,71,34,110,121,140,101,97,64,18,755,1156,805,2150,2274,2285,1949,1330,565,151,12660
501021007,69,75,194,251,323,226,45,5,0,1186,60,20,77,72,55,127,185,97,26,711,10,8,14,20,33,21,18,14,4,144,138,104,290,344,405,369,242,116,29,2042,46,97,236,280,363,235,39,7,0,1305,80,32,122,158,191,180,69,8,3,848,0,3,20,15,38,24,5,0,0,117,7,5,8,8,9,3,8,0,0,39,127,144,383,461,610,444,131,19,3,2313,14,5,7,19,17,26,0,0,0,91,5,3,6,10,6,4,3,0,0,40,19,12,20,34,22,33,3,0,0,134,146,154,398,496,631,475,132,19,3,2444,144,26,91,95,78,191,381,163,48,1218,16,23,28,33,51,38,37,27,4,255,301,205,516,629,762,708,548,206,55,3918
501021008,90,151,307,269,303,232,42,0,3,1392,63,62,132,107,116,150,234,177,105,1154,8,19,32,32,23,31,34,36,22,233,168,225,473,402,445,419,307,214,130,2782,30,176,380,309,325,260,19,0,0,1505,104,100,168,183,169,155,63,3,0,946,0,12,38,18,40,29,4,0,0,135,4,8,18,11,9,7,3,0,0,53,143,291,606,514,543,444,89,5,3,2643,14,30,42,37,48,17,0,0,0,193,25,16,27,10,14,14,0,0,0,104,39,43,67,49,62,32,0,0,0,295,184,334,673,565,605,479,87,5,3,2937,151,126,285,254,241,276,440,304,166,2256,24,31,61,52,46,71,67,52,29,432,362,491,1020,875,893,827,597,357,201,5625
501021009,128,159,305,320,409,274,55,6,3,1650,112,57,158,151,140,295,349,192,61,1520,26,15,40,30,40,45,37,34,29,287,267,235,503,493,593,610,441,225,90,3461,59,192,372,362,504,326,42,3,3,1866,133,89,182,220,232,198,56,6,3,1116,9,15,29,24,36,44,3,0,0,154,9,8,11,14,18,14,10,0,0,83,204,299,595,618,793,576,117,11,3,3216,37,52,69,57,64,34,3,0,0,314,22,11,25,12,14,10,0,0,0,97,58,66,91,66,79,46,3,0,0,412,266,367,687,677,876,621,118,11,3,3631,247,105,205,219,209,547,705,337,104,2680,43,44,83,63,77,95,74,66,44,583,553,514,978,966,1156,1264,897,413,146,6895
501021010,69,53,89,143,201,146,37,5,0,741,33,11,37,31,51,81,85,51,9,391,3,0,11,9,10,19,11,7,0,73,103,59,139,189,254,249,136,61,16,1200,34,57,121,179,250,157,27,3,3,831,65,29,45,105,135,115,58,11,3,566,0,5,15,13,12,12,6,0,0,62,0,7,3,0,0,10,0,0,0,20,104,96,177,299,396,292,94,19,7,1478,4,7,11,3,13,7,0,0,0,49,15,0,14,4,3,13,0,0,0,51,21,7,24,11,21,13,3,0,0,99,123,107,204,305,417,304,96,19,7,1578,84,14,47,38,72,128,176,97,20,669,11,5,16,22,18,38,28,8,3,158,216,127,264,370,509,469,295,126,27,2406
501021011,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,10
