SA2_MAINCODE_2016,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
501011001,60,34,169,296,284,254,117,25,3,1245,3,3,18,22,17,29,34,8,3,132,0,0,0,3,3,3,0,0,0,7,5,6,21,31,14,11,3,0,0,86,0,0,0,0,3,0,0,0,0,3,0,0,9,6,6,13,3,0,0,31,0,0,0,3,0,7,0,0,0,14,23,15,21,26,37,24,12,4,0,161,18,12,18,24,34,33,3,0,0,146,0,0,0,5,3,8,0,0,0,17,0,0,0,3,0,0,0,0,0,3,0,0,3,7,3,3,0,0,0,15,0,3,0,6,10,5,0,0,0,29,0,5,6,12,8,9,3,0,0,38,0,3,7,18,9,14,0,0,0,52,0,0,6,19,15,7,0,0,0,49,6,0,23,26,48,31,3,0,0,137,0,0,22,33,46,45,4,0,0,153,0,0,8,7,0,0,0,0,0,14,3,0,13,3,4,8,0,0,0,36
501011002,352,427,929,1225,1199,941,289,43,3,5400,8,9,12,19,34,15,14,5,0,119,0,0,6,15,7,0,0,0,0,30,11,11,31,30,33,26,4,0,0,154,0,0,3,6,8,3,3,0,0,25,3,11,31,55,44,25,3,0,0,163,3,7,10,11,7,9,4,0,0,53,186,83,113,148,204,126,22,0,0,879,107,91,136,140,105,65,20,0,0,663,0,0,18,20,29,22,4,3,0,98,12,5,6,10,10,9,0,0,0,52,0,6,21,21,40,10,0,0,0,102,0,17,19,21,19,18,4,0,0,108,4,9,44,70,65,44,11,0,0,239,9,20,43,81,70,37,4,0,0,269,0,6,23,64,61,44,6,0,0,210,10,16,84,210,232,141,20,0,0,715,24,45,155,242,328,265,42,3,0,1102,8,3,15,11,8,4,0,0,0,51,13,28,41,52,48,25,7,0,0,216
501011003,124,118,437,606,608,426,138,13,0,2476,0,4,21,24,30,28,20,4,0,126,0,0,4,8,5,3,0,0,0,16,6,8,31,30,19,20,5,0,0,132,0,0,0,5,0,3,0,0,0,5,0,4,17,29,28,14,8,0,0,98,0,0,0,13,4,3,3,0,0,20,32,13,37,63,63,38,13,0,0,257,44,29,80,48,54,40,10,0,0,310,0,0,3,8,13,10,0,0,0,33,0,3,0,7,0,3,0,0,0,14,0,3,4,10,8,7,5,0,0,37,3,3,15,14,15,9,0,0,0,63,0,9,28,54,35,31,3,4,0,160,0,9,18,40,34,20,5,0,0,132,0,0,20,18,15,11,3,0,0,66,0,9,44,90,70,48,5,0,0,265,4,18,53,79,86,69,8,0,0,322,0,8,9,7,5,14,0,0,0,46,3,6,8,25,20,10,0,0,0,79
501011004,117,116,478,585,474,331,92,7,0,2203,3,11,18,17,16,6,3,0,0,69,0,0,4,3,0,5,0,0,0,15,8,16,63,50,20,14,3,3,0,181,0,0,4,0,0,0,0,0,0,3,0,0,16,20,9,7,0,0,0,58,0,0,3,4,6,5,0,0,0,20,37,15,52,67,65,54,8,0,0,296,39,22,108,60,47,33,5,0,0,322,0,0,0,9,3,3,0,0,0,17,0,0,0,3,3,0,0,0,0,15,0,3,12,6,7,6,0,0,0,34,4,0,9,6,18,13,3,0,0,56,0,6,27,37,25,13,3,0,0,102,3,14,26,26,21,10,3,0,0,108,3,6,19,23,13,9,3,0,0,73,0,4,45,95,86,64,9,0,0,313,3,13,47,88,76,66,8,0,0,300,0,0,9,13,12,3,0,0,0,46,3,5,19,21,20,11,0,0,0,77
501021005,230,322,817,860,894,600,121,14,0,3864,0,0,8,8,7,3,3,0,0,27,0,0,18,10,11,7,0,0,0,54,10,16,43,50,45,23,3,0,0,187,0,0,5,3,7,3,0,0,0,19,0,8,33,34,36,20,0,0,0,127,0,3,7,17,5,5,0,0,0,40,106,59,129,117,131,64,11,0,0,624,96,35,48,38,39,23,3,0,0,290,0,5,8,19,24,12,3,0,0,73,3,3,6,3,5,5,0,0,0,24,0,4,18,31,18,6,0,0,0,85,0,4,10,19,17,6,3,0,0,72,0,12,31,27,21,14,8,0,0,119,0,3,20,22,21,22,4,0,0,99,3,8,41,66,54,34,3,0,0,212,5,13,93,155,173,110,9,0,0,549,20,42,117,175,192,141,24,0,0,709,14,7,13,5,7,9,4,0,0,64,8,22,34,37,32,16,3,0,0,159
501021007,60,71,195,228,293,227,85,10,3,1173,3,5,9,11,15,15,17,5,0,81,0,0,5,3,3,4,0,0,0,10,3,3,6,4,12,7,0,0,0,33,0,0,5,0,3,0,0,0,0,11,0,0,6,5,9,8,0,0,0,31,0,4,3,4,8,0,0,0,0,20,23,10,21,23,31,25,4,0,0,139,19,12,11,10,11,10,0,0,0,73,0,0,3,4,3,3,3,0,0,20,3,0,3,0,0,0,0,0,0,5,0,0,7,4,3,3,0,0,0,16,3,3,3,6,6,7,0,0,0,24,0,0,9,13,3,11,0,0,0,41,0,3,6,15,22,6,0,0,0,48,0,0,14,19,26,14,3,0,0,67,0,6,30,39,63,38,0,0,0,175,5,17,38,47,63,59,4,3,0,227,0,3,7,5,5,0,0,0,0,21,3,3,4,5,12,13,0,0,0,43
501021008,74,159,331,279,275,228,47,7,0,1391,0,0,4,3,0,3,0,0,0,10,0,0,6,3,0,0,0,0,0,12,3,6,16,12,10,8,0,0,0,54,0,0,3,0,3,0,0,0,0,11,0,3,5,4,3,3,0,0,0,24,0,0,0,7,3,3,0,0,0,13,29,23,30,38,40,26,3,0,0,206,19,17,23,21,24,10,3,0,0,124,0,3,11,3,3,10,0,0,0,31,0,0,6,3,0,0,0,0,0,8,0,0,6,0,3,3,0,0,0,18,0,7,0,4,3,4,0,0,0,15,0,3,6,10,3,9,0,0,0,35,0,3,14,15,12,7,3,0,0,60,0,3,15,14,19,9,0,0,0,62,0,15,26,26,36,23,9,0,0,132,3,23,70,60,82,79,8,0,0,330,0,3,5,3,3,4,0,0,0,18,4,11,5,11,11,3,0,0,0,43
501021009,105,167,325,323,412,322,58,4,3,1716,0,0,0,5,3,3,4,0,0,15,0,3,14,11,12,3,0,0,0,42,3,7,15,13,13,3,0,0,0,49,0,0,9,13,10,0,0,0,0,33,0,3,3,0,12,4,0,0,0,24,0,0,0,0,0,0,0,0,0,3,28,30,39,43,60,36,4,0,3,242,41,15,35,32,36,21,0,0,0,177,0,3,4,5,11,4,0,0,0,34,0,0,3,0,0,3,0,0,0,5,4,6,11,8,4,0,0,0,0,32,0,9,0,5,5,3,0,0,0,19,3,7,5,3,8,4,3,0,0,34,0,3,11,4,13,10,10,0,0,56,3,0,17,11,23,14,0,0,0,67,0,14,38,70,79,42,11,0,0,253,6,31,39,48,68,86,10,0,0,292,0,0,3,4,7,3,0,0,0,13,9,8,15,14,12,8,0,0,0,66
501021010,43,46,103,159,208,149,58,11,4,783,3,0,0,4,10,21,10,6,0,56,0,3,0,0,3,0,3,0,0,7,4,0,5,10,8,3,0,0,0,34,0,0,0,4,3,3,0,0,0,11,0,3,4,8,8,6,3,0,0,28,0,0,0,3,4,0,3,0,0,15,17,3,5,11,26,19,3,0,0,81,27,4,8,10,8,4,0,0,0,65,0,0,3,3,3,3,4,0,0,14,0,4,3,3,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,8,0,0,4,0,3,4,3,0,0,12,0,0,6,11,4,4,0,0,0,27,0,0,0,5,5,4,0,0,0,23,0,0,0,10,12,6,0,0,0,37,0,5,11,22,32,25,0,0,0,96,7,11,16,16,35,25,4,0,0,114,4,0,0,0,3,3,0,0,0,11,4,3,3,3,7,0,0,0,0,22
501021011,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
