SA2_MAINCODE_2016,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85,P_Arts_rec_svc_Tot
501011001,0,0,5,11,14,10,3,6,0,39,51,57,175,254,266,265,81,13,3,1173,13,20,45,77,60,82,84,22,3,403,0,0,16,24,25,10,0,0,0,73,8,12,42,66,51,39,10,4,0,223,0,0,0,4,3,0,0,0,0,7,4,3,40,75,57,57,8,0,0,249,4,0,3,4,11,10,0,0,0,35,33,22,32,31,56,47,17,4,0,239,33,17,26,45,55,41,14,0,0,239,0,0,8,10,11,22,7,0,0,56,0,0,0,6,0,0,0,0,0,10,0,0,3,7,5,3,0,0,0,24,0,0,4,9,15,12,0,0,0,41,0,5,12,22,16,15,7,0,0,72,0,3,10,32,22,31,6,0,0,108,0,0,10,24,28,20,3,0,0,89,6,0,26,42,53,43,6,0,0,175,0,0,20,40,54,57,15,0,0,188,0,0,8,7,0,6,3,0,0,25
501011002,4,12,15,31,34,30,10,3,0,147,402,387,830,1264,1385,918,185,19,0,5391,11,26,63,58,87,63,44,15,3,371,0,13,81,135,112,48,3,0,0,402,31,67,105,131,118,85,23,0,0,546,0,0,15,40,39,10,3,0,0,110,73,150,270,323,277,193,21,3,0,1317,8,16,23,33,40,34,12,0,0,164,274,144,203,244,289,208,39,8,0,1412,207,123,226,221,155,110,40,4,0,1076,4,8,38,64,117,87,60,9,0,376,10,13,14,18,22,10,0,0,0,87,0,11,30,36,58,24,4,0,0,162,6,25,33,41,42,39,14,0,0,201,7,12,65,111,108,72,18,0,0,401,13,41,82,132,121,81,22,0,0,497,6,23,58,142,126,98,14,3,0,470,13,23,114,252,283,195,28,0,0,912,28,51,181,290,388,330,56,3,0,1336,13,10,29,17,26,22,12,0,0,119
501011003,7,4,20,19,15,14,7,0,0,92,105,120,421,592,524,384,96,16,7,2263,7,19,66,68,92,73,49,9,0,386,0,0,45,68,40,21,3,0,0,182,19,15,69,86,72,46,19,4,0,320,0,0,3,10,10,6,0,0,0,27,21,41,122,173,166,104,19,0,0,646,3,0,5,20,13,12,4,0,0,61,59,23,53,87,89,64,18,4,0,403,82,44,147,101,106,72,17,0,0,567,3,0,5,19,31,31,8,0,0,102,0,3,3,12,4,4,3,0,0,25,0,3,9,23,25,7,6,0,0,77,3,0,17,38,34,26,15,0,0,126,0,10,46,86,82,51,16,3,0,296,3,13,29,61,58,43,7,0,0,220,0,0,28,34,39,16,3,0,0,128,0,7,45,112,92,63,12,0,0,335,7,19,67,98,105,90,14,0,0,395,0,7,13,28,13,19,5,0,0,78
501011004,10,4,18,26,16,15,0,0,0,87,111,117,506,565,469,338,55,6,7,2179,3,25,61,47,37,28,3,4,0,204,0,3,38,49,34,8,5,0,0,130,17,34,155,135,81,47,9,3,0,489,0,0,8,12,10,4,0,0,0,36,23,20,110,135,94,65,9,3,0,459,5,4,15,15,18,18,3,0,0,66,62,29,74,99,83,87,19,0,0,456,71,37,178,107,74,59,18,3,0,543,0,3,10,19,19,21,8,0,0,74,0,0,3,11,8,5,0,0,0,26,0,3,9,15,12,6,3,0,0,52,4,0,12,14,27,27,8,0,0,85,0,6,40,72,46,24,10,0,0,196,6,17,50,49,46,22,8,0,0,210,0,8,28,37,27,19,4,0,0,130,5,4,56,127,121,91,10,0,0,410,6,13,54,103,92,77,13,0,0,356,3,5,12,25,26,13,0,0,0,81
501021005,7,3,23,23,26,14,6,0,0,106,281,256,711,864,882,541,89,5,0,3641,3,6,20,25,29,25,8,4,0,124,3,21,150,160,151,65,9,0,0,548,26,73,209,220,213,121,19,0,0,883,0,7,44,46,39,34,0,0,0,165,35,75,187,166,170,107,14,0,0,755,3,7,35,33,25,19,0,0,0,126,162,111,197,161,189,102,22,0,0,940,168,61,64,52,51,29,8,0,0,430,8,18,39,68,90,63,24,0,0,304,6,10,8,10,5,3,0,0,0,41,0,5,30,43,32,10,0,0,0,120,3,5,15,27,25,15,6,0,0,105,5,18,53,56,49,35,15,0,0,224,5,11,33,35,38,34,7,4,0,168,10,18,60,108,105,81,7,0,0,382,8,16,111,180,214,153,19,3,0,696,18,49,133,197,212,168,27,0,0,807,12,14,22,10,16,22,4,0,0,96
501021007,0,3,4,6,14,3,4,0,0,34,68,69,182,236,312,217,46,5,0,1136,6,20,28,39,43,42,43,9,3,228,0,5,33,34,25,33,0,0,0,130,13,9,27,25,42,28,6,0,0,153,0,0,11,3,8,3,0,0,0,34,16,22,52,64,69,40,5,0,0,271,0,4,8,7,12,7,6,0,0,49,33,11,30,38,46,32,7,0,0,196,22,14,15,13,19,11,4,0,0,97,0,0,8,19,21,25,10,0,0,88,3,0,3,0,5,3,0,0,0,13,0,0,7,4,5,6,0,0,0,16,3,8,4,6,11,10,4,4,0,45,3,4,12,21,14,15,10,0,0,77,3,3,10,12,31,17,0,0,0,79,0,0,19,28,45,25,5,0,0,127,6,6,28,47,80,43,4,0,0,217,5,17,41,54,74,71,5,3,0,262,3,3,9,7,3,3,3,0,0,42
501021008,3,8,11,11,9,8,0,0,0,50,73,136,274,237,270,220,41,0,3,1251,0,5,7,5,3,5,0,0,0,27,0,8,34,21,21,20,0,0,0,106,6,33,62,59,48,39,3,0,0,261,0,3,11,11,8,14,3,0,0,46,13,41,61,55,67,40,9,0,0,288,3,3,9,15,10,7,0,0,0,49,44,51,78,64,53,35,8,0,0,337,43,31,41,26,24,10,8,0,0,187,4,7,26,20,23,37,12,0,0,129,0,3,6,6,3,7,0,0,0,25,0,0,6,3,3,6,0,0,0,21,0,6,5,4,5,3,0,0,0,30,0,9,20,14,10,14,0,0,0,71,3,6,21,20,16,20,3,0,0,91,0,3,30,29,28,28,3,0,0,123,0,14,34,41,37,44,12,0,0,179,6,27,86,79,93,92,17,0,0,395,3,3,7,5,6,7,0,0,0,36
501021009,3,4,8,5,10,4,6,0,0,44,99,132,275,297,381,252,50,6,3,1495,4,3,11,16,6,18,11,6,0,68,10,35,101,117,175,122,3,0,0,558,12,28,54,52,48,11,3,0,0,206,9,10,55,48,72,47,4,0,0,238,8,33,42,33,35,33,5,0,0,189,0,0,0,0,3,0,0,0,0,9,42,38,47,49,72,44,9,0,3,315,76,26,38,36,39,37,0,0,0,254,3,10,18,17,28,27,3,0,0,100,0,0,3,0,0,3,0,0,0,9,4,6,15,8,4,3,0,0,0,35,0,8,12,5,5,11,3,0,0,44,3,9,12,17,13,8,7,0,0,68,0,4,13,13,14,19,16,0,0,82,5,5,22,20,42,22,5,0,0,133,0,15,45,71,88,48,16,0,0,282,7,31,46,57,78,91,13,0,0,331,0,4,4,5,7,8,0,0,0,31
501021010,0,3,4,4,4,4,0,0,0,27,58,48,74,138,195,143,37,5,0,698,3,4,7,22,40,33,33,12,3,160,0,3,14,20,18,11,6,0,0,76,11,8,22,48,47,19,3,0,0,154,0,0,4,7,14,10,0,0,0,33,9,15,22,36,39,20,9,4,0,152,0,0,8,7,11,5,5,0,0,38,27,5,7,18,34,22,5,0,0,121,31,5,6,8,12,4,3,0,0,78,0,0,10,10,24,22,14,0,0,79,3,4,0,5,0,0,0,0,0,14,0,0,0,9,5,0,0,0,0,16,0,0,3,0,10,4,8,0,0,21,0,3,6,18,3,8,3,0,0,46,5,0,3,9,9,10,3,0,0,31,0,0,11,12,19,14,0,0,0,64,3,5,13,21,45,37,0,0,0,123,7,11,21,26,33,32,4,0,0,130,4,3,0,0,3,8,0,0,0,17
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
