SA2_MAINCODE_2016,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501011001,10,0,24,12,12,11,7,0,0,74,0,0,8,10,25,22,5,4,3,81,118,89,342,550,553,523,193,40,4,2415
501011002,32,39,75,96,91,71,14,0,0,430,16,37,61,94,89,67,28,8,0,398,754,813,1765,2484,2581,1864,475,55,5,10796
501011003,8,10,22,39,34,18,0,0,0,146,10,14,47,43,37,36,23,0,0,217,228,238,855,1204,1129,812,237,27,5,4738
501011004,3,12,29,36,42,14,3,0,0,139,12,14,39,63,43,43,8,3,0,227,226,233,983,1152,942,665,151,15,5,4378
501021005,21,45,60,69,69,27,7,0,0,302,23,19,53,62,70,43,18,3,0,290,514,583,1528,1724,1772,1149,213,18,0,7506
501021007,8,8,8,19,23,14,3,0,0,86,3,3,18,23,23,11,4,0,0,94,127,144,383,461,610,444,131,19,3,2313
501021008,4,19,19,17,30,13,0,0,0,102,6,22,31,25,35,17,5,0,0,134,143,291,606,514,543,444,89,5,3,2643
501021009,14,18,28,27,25,15,6,0,0,132,4,14,28,20,27,14,8,0,0,127,204,299,595,618,793,576,117,11,3,3216
501021010,7,8,11,12,13,7,3,0,0,59,3,8,5,13,12,15,3,4,0,59,104,96,177,299,396,292,94,19,7,1478
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,11
501021012,19,33,75,48,37,31,8,3,0,256,16,20,45,38,26,27,8,4,0,181,373,495,1150,1109,1116,760,123,16,0,5142
501021014,8,15,21,32,30,18,6,0,0,130,10,17,31,29,33,41,16,4,0,185,248,243,587,777,936,683,200,45,3,3726
501021015,6,20,47,23,27,26,9,0,0,154,3,8,22,21,24,21,10,0,0,110,177,264,699,568,633,505,112,8,3,2970
501021016,4,5,14,16,9,13,0,0,0,56,5,11,11,8,14,15,0,0,0,66,97,114,243,293,399,305,74,11,3,1558
501021251,19,11,33,37,38,14,5,0,0,156,13,10,31,36,37,12,0,0,0,149,369,334,802,1078,973,395,76,5,0,4031
501021252,7,11,11,14,29,11,4,0,0,76,3,6,4,10,22,8,0,0,0,60,110,84,116,297,426,306,35,3,3,1380
501021253,8,19,56,51,44,46,18,0,0,235,8,20,40,41,32,42,12,5,0,200,273,427,1067,1119,1285,1048,283,29,0,5536
501021254,7,10,20,21,12,13,4,0,0,82,8,8,19,20,12,17,0,0,0,84,108,155,403,421,413,338,48,9,0,1899
501031017,8,7,10,24,20,11,7,0,0,80,15,5,9,13,29,38,16,4,0,130,141,102,274,527,653,617,251,51,0,2621
501031018,8,6,18,19,20,17,5,0,0,86,7,6,14,13,31,23,7,3,0,109,116,119,330,458,586,578,187,20,7,2406
501031019,6,14,21,9,26,17,7,0,0,103,6,4,14,15,24,21,7,3,0,106,168,191,427,445,594,497,141,31,3,2501
501031020,5,5,5,4,10,5,3,0,0,43,8,11,20,13,15,28,12,3,0,107,90,99,233,382,585,551,209,42,5,2188
502011021,9,8,23,17,27,16,3,0,0,94,9,13,16,22,30,14,11,0,0,115,157,184,419,606,659,459,117,7,3,2596
502011022,6,17,23,20,20,21,4,0,0,113,11,20,25,30,36,20,15,3,0,156,202,295,502,648,831,620,141,14,0,3254
502011023,11,13,26,18,19,19,8,0,0,110,8,24,31,14,41,29,4,3,0,160,219,331,652,592,814,521,90,16,3,3233
502011024,20,27,55,63,58,38,11,4,0,269,24,18,50,53,60,46,20,3,3,267,536,628,1028,1459,1740,1243,297,41,3,6976
502011025,14,20,27,25,25,19,8,0,0,140,4,8,31,18,27,15,12,3,0,123,155,297,639,555,699,606,152,18,0,3127
502011026,0,17,10,19,19,14,3,0,0,75,9,6,15,16,22,22,9,0,0,101,133,192,296,396,506,446,104,10,0,2079
502011027,22,40,81,60,57,27,0,0,0,290,11,27,70,63,59,28,6,0,0,273,482,719,1691,1659,1675,957,169,16,0,7370
502011028,9,11,16,15,33,22,16,0,0,116,4,19,23,27,26,27,13,10,0,160,197,294,552,595,761,692,196,32,3,3316
502011029,9,16,29,31,22,24,4,0,0,142,8,20,36,41,42,19,11,3,0,176,227,273,618,733,865,556,170,25,6,3475
503011030,3,11,0,5,14,13,8,3,0,69,16,19,4,20,43,34,12,0,0,139,212,297,235,453,869,551,159,66,12,2860
503011031,5,11,18,13,16,12,6,0,0,89,3,12,26,38,39,16,15,0,4,165,137,354,771,597,730,554,294,59,5,3504
503011032,3,12,19,8,14,8,6,0,0,71,8,14,37,27,39,24,13,3,0,169,142,270,700,632,809,674,243,32,6,3514
503011033,7,12,13,15,22,20,6,0,0,92,9,8,16,35,40,19,4,0,0,139,221,351,448,807,1094,693,141,24,0,3769
503011034,5,9,29,22,32,9,6,0,0,124,3,7,34,50,43,30,17,5,3,199,214,416,932,872,1094,750,320,60,6,4656
503011035,10,19,27,29,18,31,8,3,0,148,12,43,42,54,75,43,33,13,0,319,574,1054,1213,1409,1709,1364,580,107,6,8015
503011036,4,10,7,16,23,21,5,3,0,90,5,5,18,29,25,42,15,6,0,144,218,321,530,768,986,755,278,50,0,3904
503021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6
503021038,9,26,52,41,32,29,10,0,0,189,3,11,68,65,63,20,3,0,0,232,170,447,1632,1445,1192,694,149,10,0,5745
503021039,5,28,89,40,45,57,14,0,0,280,14,32,79,78,68,47,16,4,0,337,333,842,2377,1803,1733,1258,319,28,0,8701
503021040,7,17,52,22,37,28,4,0,0,155,0,12,40,35,44,9,9,3,0,157,140,387,1307,1076,985,572,145,16,0,4626
503021041,8,54,244,88,72,66,11,3,0,547,10,83,365,185,138,70,46,6,3,902,245,1858,8377,3621,2560,1822,510,66,13,19071
503021042,5,27,47,29,36,30,8,0,0,181,9,18,83,55,59,52,22,0,0,298,259,654,2064,1671,1625,1229,476,65,4,8048
503021043,4,33,82,53,41,40,11,0,0,266,8,15,111,95,63,35,12,7,4,355,283,806,2825,2191,1504,1113,317,41,9,9094
504011044,10,31,71,79,53,34,9,0,0,296,19,18,78,60,66,47,15,0,0,299,311,541,1671,1663,1535,1092,280,21,4,7112
504011045,13,47,125,86,104,59,11,0,0,449,17,39,137,136,118,61,16,0,0,528,466,916,2896,2787,2366,1582,311,33,0,11355
504011046,5,28,89,47,27,23,6,0,0,224,5,25,101,58,46,38,8,0,0,282,137,634,2589,1539,975,685,188,16,0,6763
504011047,13,53,156,106,98,69,27,0,0,524,20,59,153,103,111,59,24,0,0,529,420,1036,2714,2089,1968,1369,394,36,4,10029
504011048,3,17,20,29,49,43,17,7,0,175,6,25,41,38,46,36,13,3,0,209,176,349,662,686,797,812,226,17,0,3731
504021049,4,8,3,14,9,11,3,0,0,56,0,12,15,14,29,6,3,0,0,83,72,104,179,248,387,278,67,8,0,1346
504021050,11,9,13,26,31,21,7,0,0,121,10,12,12,26,46,27,13,3,0,142,223,219,348,669,933,695,215,18,0,3319
504021051,9,15,23,22,25,17,8,0,0,122,6,6,13,21,36,19,8,0,0,112,160,238,487,506,640,432,104,17,0,2580
504021052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
504021053,31,30,57,49,67,53,6,0,0,287,28,32,41,55,87,51,12,8,0,307,389,439,780,1145,1603,1219,277,37,3,5897
504021054,9,28,68,58,53,54,13,0,0,276,18,24,49,51,64,44,18,0,0,261,294,493,1080,979,1199,962,247,22,0,5266
504031055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
504031056,21,57,89,89,108,60,13,3,0,448,19,51,101,93,132,64,11,6,0,481,577,989,1668,1650,2288,1502,225,18,0,8927
504031057,13,41,115,86,70,56,6,0,0,395,18,47,112,121,85,59,13,0,0,458,423,799,2056,1832,1665,1125,201,7,0,8107
504031058,4,23,32,22,36,17,0,0,0,126,9,19,17,35,34,24,7,3,0,150,144,251,395,498,628,403,103,5,0,2423
504031059,28,95,258,200,138,49,11,0,0,771,36,91,245,168,148,68,10,3,0,763,886,1662,4924,4415,3254,1478,289,21,0,16928
504031060,3,8,11,9,20,11,0,0,0,68,0,3,10,16,12,12,8,3,0,64,77,127,120,262,410,263,73,13,4,1344
504031061,3,16,22,24,26,15,4,0,0,111,3,10,22,24,27,19,0,0,0,102,94,149,433,487,425,334,57,15,0,1997
504031062,14,28,62,53,36,30,10,3,0,231,18,25,71,63,41,40,5,0,0,257,211,476,1423,1144,941,610,115,13,0,4936
504031063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
504031064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031065,3,13,33,26,22,15,4,0,0,115,3,12,20,16,24,21,5,8,0,114,138,233,450,412,560,411,121,21,3,2350
504031066,8,27,40,25,40,31,10,0,0,178,0,21,39,42,52,21,13,0,0,193,211,493,1027,945,904,654,173,6,0,4410
504031067,3,20,44,29,34,15,3,0,0,142,15,21,43,33,41,14,11,0,0,172,226,350,679,710,785,436,95,9,4,3290
504031068,13,24,68,52,44,24,14,0,0,244,10,23,51,41,46,33,15,0,0,218,274,459,1062,1070,1151,721,192,22,0,4946
504031069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505011070,5,33,74,55,29,26,11,0,0,235,8,20,40,56,48,31,3,0,0,199,205,432,1428,1074,879,706,128,6,0,4871
505011071,17,39,44,64,96,42,7,0,0,308,26,39,43,54,94,39,9,0,0,307,598,805,1099,1471,2053,1007,171,17,0,7215
505011072,17,21,41,71,60,44,11,0,0,266,7,20,50,69,66,47,14,3,4,281,411,599,993,1747,1792,1335,407,21,7,7294
505011073,10,18,47,55,50,34,22,0,0,247,13,30,53,47,51,47,19,3,0,253,303,472,1380,1489,1328,1034,348,24,0,6381
505011074,16,24,75,47,30,29,3,0,0,220,8,33,62,63,60,42,7,0,0,274,329,525,1187,1096,1135,923,183,18,0,5391
505011075,3,29,27,31,46,26,7,0,0,168,3,18,31,43,57,50,12,0,0,211,353,541,664,1072,1409,1128,248,20,0,5428
505011076,13,22,21,25,35,37,4,0,0,159,12,16,19,44,60,40,6,0,0,200,357,484,455,1044,1487,765,84,6,0,4690
505011077,11,43,84,40,66,49,7,0,0,304,18,38,66,49,42,37,19,0,0,262,379,829,1640,1201,1483,1160,218,15,4,6919
505011078,13,24,43,44,49,57,20,0,0,256,12,10,34,55,61,49,9,0,0,228,349,479,1002,1318,1397,1403,312,14,0,6272
