SA2_MAINCODE_2016,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
501011001,537,334,364,232,222,211,114,366,33,2415
501011002,1216,1515,1946,1276,1283,1244,746,1431,136,10796
501011003,827,874,848,448,470,448,223,534,66,4738
501011004,613,767,765,519,414,424,194,613,66,4378
501021005,654,1091,1470,815,943,831,729,860,116,7506
501021007,298,319,415,232,257,180,221,342,37,2313
501021008,186,316,481,327,249,258,291,483,45,2643
501021009,219,297,731,332,315,253,538,464,59,3216
501021010,274,222,260,125,182,108,155,142,18,1478
501021011,0,3,3,0,0,0,0,0,0,11
501021012,428,585,1052,555,637,603,571,622,93,5142
501021014,509,362,692,306,390,283,391,720,64,3726
501021015,247,367,571,311,393,322,277,434,42,2970
501021016,156,132,343,183,146,110,251,205,29,1558
501021251,366,794,686,480,474,428,315,428,57,4031
501021252,146,298,280,124,198,106,75,130,23,1380
501021253,650,1326,888,551,665,486,290,605,82,5536
501021254,120,221,312,231,171,215,220,385,27,1899
501031017,561,348,408,234,245,193,247,341,40,2621
501031018,439,309,377,222,248,176,261,336,32,2406
501031019,363,282,394,222,309,240,243,419,31,2501
501031020,600,278,220,173,179,173,163,350,48,2188
502011021,265,370,547,277,334,252,253,265,47,2596
502011022,324,535,632,365,382,340,289,343,45,3254
502011023,212,357,677,419,329,360,367,450,64,3233
502011024,698,1109,1297,849,825,801,602,692,107,6976
502011025,285,426,573,421,318,330,302,422,53,3127
502011026,209,259,413,195,244,229,252,235,47,2079
502011027,669,1138,1433,980,951,732,624,715,120,7370
502011028,282,357,576,435,395,393,381,424,72,3316
502011029,370,336,700,390,334,322,483,468,72,3475
503011030,557,1162,151,231,326,250,34,87,60,2860
503011031,625,1494,201,306,356,297,54,112,54,3504
503011032,714,1611,181,250,331,232,33,100,70,3514
503011033,711,1643,210,293,457,246,44,115,42,3769
503011034,839,1805,311,476,502,361,69,224,76,4656
503011035,1231,3602,366,733,846,653,117,341,123,8015
503011036,737,1614,180,422,446,279,37,123,72,3904
503021037,5,0,0,0,3,0,0,0,0,6
503021038,849,2339,561,503,671,389,126,247,64,5745
503021039,1321,3113,844,809,1122,771,202,410,107,8701
503021040,717,1731,490,402,568,339,105,222,62,4626
503021041,3247,6612,1933,1902,2175,1161,444,1268,324,19071
503021042,1270,3710,514,625,842,541,88,345,111,8048
503021043,1204,3234,789,883,1047,709,277,845,106,9094
504011044,779,1675,1080,832,1112,531,420,578,112,7112
504011045,1437,3112,1563,1196,1560,933,516,840,198,11355
504011046,837,2001,818,782,862,504,355,538,73,6763
504011047,904,1737,1789,1167,1481,1013,701,1066,178,10029
504011048,442,739,557,372,593,411,206,325,80,3731
504021049,151,204,277,163,159,110,113,139,34,1346
504021050,495,1015,414,366,415,269,120,182,49,3319
504021051,332,483,409,252,384,275,212,200,28,2580
504021052,0,0,0,0,0,0,0,0,0,4
504021053,681,1148,1098,630,822,493,415,506,107,5897
504021054,461,704,941,597,798,512,490,636,122,5266
504031055,0,0,0,0,0,0,0,3,0,7
504031056,805,1165,1569,1048,1342,1056,744,1039,157,8927
504031057,676,974,1470,983,1137,883,793,1029,161,8107
504031058,241,308,476,231,365,201,259,296,48,2423
504031059,1701,2307,2879,2177,2684,1739,1636,1528,279,16928
504031060,207,226,242,141,189,103,95,113,37,1344
504031061,251,376,303,217,330,151,168,165,31,1997
504031062,414,776,845,631,717,480,432,573,71,4936
504031063,0,0,0,0,0,0,0,0,0,3
504031064,0,0,0,0,0,0,0,0,0,0
504031065,242,300,441,253,354,195,256,283,36,2350
504031066,409,781,678,575,562,420,418,494,74,4410
504031067,309,407,553,385,509,370,350,358,52,3290
504031068,761,801,804,547,767,465,357,385,60,4946
504031069,0,0,0,0,0,0,0,0,0,0
505011070,397,905,1035,542,688,447,303,472,83,4871
505011071,774,1440,1212,856,1095,794,315,604,118,7215
505011072,1058,2173,945,722,1061,650,184,392,106,7294
505011073,706,1505,1052,661,1002,567,288,492,107,6381
505011074,543,1019,1032,644,770,549,275,478,89,5391
505011075,926,1383,677,533,859,550,138,287,76,5428
505011076,773,1129,660,458,715,519,111,257,62,4690
505011077,735,1527,1085,865,1012,735,299,567,108,6919
505011078,744,1490,959,646,1100,619,247,405,64,6272
505011079,735,1297,818,571,803,534,177,341,87,5357
505011080,558,927,598,421,602,442,143,256,66,4010
505011081,416,921,815,439,584,343,183,322,69,4084
505011082,830,1397,509,394,683,454,123,192,78,4665
505011083,609,1129,696,565,834,525,179,321,60,4916
505021084,699,1562,1166,718,1044,688,409,671,124,7084
505021085,489,822,1279,1166,774,733,833,1426,203,7723
505021086,1436,2606,1524,1159,1658,1188,550,944,178,11237
505021087,0,0,0,0,0,0,0,0,0,0
505021088,1063,2711,1158,879,1150,681,269,491,115,8513
