SA2_MAINCODE_2016,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_over_Mgrs,M_85_over_Profnls,M_85_over_Techs_trades_wrkrs,M_85_over_Com_psnl_serv_wrkrs,M_85_over_Cler_admin_wrkrs,M_85_over_Sales_wrkrs,M_85_over_Mach_oper_dvrs,M_85_over_Labrs,M_85_over_Inad_desc_Ns,M_85_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_over_Mgrs,F_85_over_Profnls,F_85_over_Techs_trades_wrkrs,F_85_over_Com_psnl_serv_wrkrs,F_85_over_Cler_admin_wrkrs,F_85_over_Sales_wrkrs,F_85_over_Mach_oper_dvrs,F_85_over_Labrs,F_85_over_Inad_desc_Ns,F_85_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
501011001,0,0,9,11,0,16,4,20,0,60,4,0,7,4,0,7,0,13,0,34,27,17,55,7,0,8,15,30,0,169,67,39,92,8,7,9,26,46,0,296,74,22,73,11,11,16,25,42,6,284,78,27,50,5,8,8,29,45,4,254,58,18,13,4,3,4,6,8,3,117,22,0,0,0,0,0,0,7,0,25,3,0,0,0,0,0,0,0,0,3,329,132,303,52,28,67,104,213,21,1245,0,0,5,18,5,22,0,9,0,51,3,0,4,18,0,12,0,14,0,57,19,48,9,37,27,22,0,21,0,175,45,51,16,30,53,18,0,32,0,254,47,48,19,44,45,31,6,33,3,266,50,43,12,28,56,26,0,44,4,265,35,8,0,5,8,7,0,10,3,81,6,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,209,205,65,183,200,145,10,152,14,1173
501011002,3,3,102,26,5,105,10,100,0,352,18,11,195,22,11,47,26,79,7,427,91,75,397,46,28,53,79,148,7,929,177,153,390,66,46,60,169,157,21,1225,193,164,331,38,49,65,179,161,26,1199,157,116,207,51,54,57,157,129,17,941,59,38,34,14,16,24,60,41,6,289,14,3,5,0,3,3,3,8,3,43,3,0,0,0,0,0,0,0,0,3,717,562,1659,253,198,410,681,832,92,5400,3,6,16,93,19,211,5,48,0,402,23,35,41,92,51,93,0,42,3,387,83,187,54,166,148,97,4,84,3,830,113,267,68,223,274,118,25,161,6,1264,159,250,63,248,318,163,16,140,17,1385,76,174,33,171,212,127,15,111,5,918,35,25,9,31,48,22,3,12,3,185,3,0,0,0,0,0,0,3,3,19,0,0,0,0,0,0,0,0,0,0,502,954,285,1020,1084,833,69,601,47,5391
501011003,0,0,30,13,0,30,5,43,5,124,0,8,50,6,0,9,7,26,0,118,61,48,170,23,4,13,28,74,6,437,118,105,181,21,13,28,55,79,8,606,144,108,166,15,16,35,42,66,8,608,111,72,99,11,12,27,47,43,3,426,57,28,10,3,0,13,11,17,8,138,5,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,498,367,726,97,53,158,195,345,36,2476,0,0,3,36,3,45,0,17,0,105,3,17,13,40,6,15,0,17,3,120,69,112,25,74,59,40,3,33,5,421,91,156,36,88,118,65,4,41,7,592,86,123,24,59,115,61,9,40,10,524,47,83,17,48,91,53,6,37,3,384,30,14,4,10,10,16,0,6,4,96,3,7,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,7,332,503,120,356,412,293,29,189,29,2263
501011004,3,3,29,11,0,27,3,38,4,117,9,3,44,10,3,6,8,29,3,116,54,59,174,28,5,16,20,113,8,478,115,99,179,27,17,27,56,66,7,585,98,78,127,21,17,24,41,59,7,474,74,58,70,11,10,22,38,44,3,331,20,21,16,4,3,5,9,7,6,92,3,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,377,314,643,108,60,130,176,357,40,2203,0,0,5,37,8,49,0,12,0,111,11,9,10,34,5,16,0,36,0,117,55,84,39,102,66,52,5,103,7,506,63,146,29,104,104,59,8,42,7,565,66,113,25,78,100,57,0,31,4,469,44,80,10,53,64,53,0,27,0,338,4,15,4,5,12,4,0,3,0,55,0,4,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,7,240,457,126,410,355,297,16,255,24,2179
501021005,3,0,64,7,3,57,5,84,4,230,13,16,144,10,0,42,35,63,4,322,50,82,318,25,30,39,135,118,11,817,94,95,272,26,32,39,164,114,22,860,117,111,288,33,29,40,179,71,21,894,82,97,152,30,31,16,128,50,17,600,20,13,14,3,12,9,30,20,3,121,4,0,0,0,3,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,392,406,1259,148,142,239,671,528,82,3864,4,0,5,60,24,158,0,28,3,281,14,25,24,64,52,55,0,21,3,256,54,149,48,124,154,103,19,62,8,711,66,184,54,158,208,98,13,72,5,864,69,171,45,162,211,118,17,81,10,882,46,115,25,96,128,57,16,57,7,541,6,23,0,12,22,10,0,18,0,89,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,264,679,209,669,803,593,58,331,36,3641
501021007,0,3,24,4,0,11,0,16,0,60,3,3,30,0,0,5,7,25,0,71,18,12,78,3,3,5,28,44,6,195,25,28,75,8,6,9,43,26,3,228,50,36,72,16,6,9,57,45,5,293,44,17,58,7,9,7,51,26,3,227,27,6,7,3,5,10,7,16,3,85,6,0,0,0,0,0,3,0,0,10,3,0,0,0,0,0,0,0,0,3,183,109,339,37,27,55,203,202,28,1173,4,0,3,15,8,21,0,11,0,68,4,7,4,9,12,14,3,14,0,69,8,47,16,25,42,23,0,23,0,182,24,57,13,38,46,25,4,20,4,236,44,64,16,50,57,25,6,47,6,312,22,33,17,48,47,18,3,30,0,217,14,3,0,3,13,0,0,3,3,46,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,121,212,70,197,227,127,21,145,14,1136
501021008,0,0,16,3,0,24,0,26,0,74,0,5,67,7,4,17,11,45,3,159,19,36,102,12,14,18,48,73,10,331,30,27,77,9,3,6,60,55,7,279,28,20,86,9,9,11,66,33,4,275,23,21,51,5,11,9,78,29,7,228,5,0,12,5,0,4,13,10,3,47,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,107,113,408,55,41,81,275,277,30,1391,0,0,0,17,4,38,0,7,3,73,8,13,10,31,21,33,0,14,0,136,16,62,24,49,42,26,0,46,8,274,16,39,10,45,34,26,0,54,5,237,19,44,14,62,52,26,3,43,4,270,19,34,7,56,44,20,3,28,3,220,0,7,0,11,3,3,0,10,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,72,206,66,273,205,180,19,210,22,1251
501021009,0,0,39,0,0,15,3,36,3,105,0,3,91,12,0,6,25,31,0,167,14,22,133,3,9,3,75,50,10,325,19,21,121,6,3,3,94,52,0,323,27,20,153,13,21,4,148,30,4,412,26,16,84,4,4,4,128,40,12,322,14,4,6,4,4,0,9,6,11,58,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,104,94,619,46,46,40,484,238,45,1716,3,0,7,7,14,49,3,18,0,99,4,6,17,36,34,26,7,11,3,132,21,41,29,49,56,31,17,29,3,275,22,45,22,56,61,28,15,47,3,297,45,55,22,75,57,45,13,63,4,381,19,42,16,53,46,28,4,43,3,252,4,10,0,12,3,4,4,17,4,50,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,114,200,110,289,271,213,57,227,17,1495
501021010,0,3,16,0,0,12,0,11,0,43,3,0,23,0,4,3,5,7,0,46,3,11,38,5,3,0,28,13,0,103,38,16,55,3,10,0,28,13,0,159,63,27,52,5,3,8,34,18,3,208,38,24,26,7,3,3,33,12,3,149,25,4,4,0,0,3,11,4,0,58,8,0,0,0,0,0,4,0,0,11,3,0,0,0,0,0,0,0,0,4,173,81,220,19,21,31,144,81,15,783,0,3,6,16,3,16,0,14,0,58,0,7,7,10,10,7,0,0,0,48,7,25,5,11,15,7,0,4,0,74,19,32,3,13,38,14,4,9,0,138,25,38,9,28,48,15,4,17,3,195,24,33,3,20,36,16,4,8,3,143,15,0,0,0,12,3,0,3,0,37,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,100,138,37,109,160,80,15,59,6,698
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
