SA2_MAINCODE_2016,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_over_Mgrs,P_85_over_Profnls,P_85_over_Techs_trades_wrkrs,P_85_over_Com_psnl_serv_wrkrs,P_85_over_Cler_admin_wrkrs,P_85_over_Sales_wrkrs,P_85_over_Mach_oper_dvrs,P_85_over_Labrs,P_85_over_Inad_desc_Ns,P_85_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
501011001,0,0,16,24,5,41,4,26,0,118,7,0,11,23,0,21,0,27,0,89,44,68,65,47,24,33,15,49,0,342,112,98,107,39,60,28,25,82,0,550,116,74,90,54,54,46,32,69,13,553,127,74,61,37,62,36,29,89,9,523,94,19,11,10,16,14,6,17,8,193,30,0,0,0,0,3,0,6,0,40,0,0,0,0,0,0,0,3,0,4,537,334,364,232,222,211,114,366,33,2415
501011002,4,13,117,113,31,314,15,148,0,754,44,51,236,116,62,138,29,129,8,813,173,264,455,212,173,148,88,233,15,1765,293,421,456,283,320,178,193,312,23,2484,354,412,400,283,363,229,194,303,37,2581,232,295,235,219,269,186,170,235,25,1864,97,64,41,38,58,44,60,57,13,475,20,3,4,0,5,3,3,11,3,55,3,0,0,0,0,0,0,0,0,5,1216,1515,1946,1276,1283,1244,746,1431,136,10796
501011003,0,0,38,47,3,76,5,59,5,228,8,23,59,52,10,23,7,41,8,238,135,162,197,93,61,52,32,115,8,855,208,258,218,104,131,89,62,111,10,1204,230,234,192,79,134,97,52,105,19,1129,160,149,121,58,108,72,52,82,9,812,83,41,21,17,13,32,14,22,8,237,13,7,0,0,3,3,0,0,0,27,0,0,0,0,0,0,0,0,0,5,827,874,848,448,470,448,223,534,66,4738
501011004,4,3,29,48,9,75,3,53,4,226,17,8,52,45,9,21,5,62,8,233,106,141,216,130,73,67,23,213,19,983,177,246,208,124,117,82,63,109,19,1152,160,191,161,96,115,75,41,87,16,942,115,137,73,71,77,80,40,73,9,665,27,35,25,7,13,15,9,8,7,151,3,3,0,0,6,3,0,3,0,15,0,0,0,0,0,0,0,0,0,5,613,767,765,519,414,424,194,613,66,4378
501021005,10,0,71,64,25,217,6,108,6,514,27,42,171,72,54,94,38,82,3,583,112,234,368,151,183,143,148,182,23,1528,163,277,328,186,243,132,179,186,27,1724,186,283,334,201,243,156,192,149,31,1772,129,212,181,121,156,77,143,106,21,1149,26,38,21,17,27,18,27,37,3,213,4,3,0,0,3,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,654,1091,1470,815,943,831,729,860,116,7506
501021007,3,3,22,24,11,32,0,30,0,127,4,9,33,14,13,19,11,38,0,144,23,62,96,31,41,28,31,65,6,383,53,85,90,43,52,27,51,49,10,461,89,97,92,69,63,34,65,88,7,610,68,51,73,55,54,27,57,51,7,444,45,8,7,6,22,9,12,25,3,131,12,3,0,0,0,0,3,0,0,19,3,0,0,0,0,0,0,0,0,3,298,319,415,232,257,180,221,342,37,2313
501021008,0,0,16,18,4,57,0,37,3,143,7,16,79,38,28,46,9,61,3,291,32,99,121,66,58,41,51,120,13,606,51,64,92,58,37,35,63,110,7,514,49,62,96,77,65,43,70,76,9,543,43,52,64,60,53,30,80,58,4,444,8,10,9,16,3,9,10,22,3,89,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,186,316,481,327,249,258,291,483,45,2643
501021009,3,0,43,11,15,69,7,50,6,204,5,7,105,50,30,36,29,38,4,299,33,68,166,51,58,38,88,75,14,595,33,67,142,68,70,28,103,95,4,618,75,74,174,87,73,48,163,95,10,793,44,61,103,55,54,32,131,80,11,576,14,11,6,15,7,3,16,28,13,117,8,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,219,297,731,332,315,253,538,464,59,3216
501021010,0,3,21,16,3,32,0,30,0,104,3,12,27,16,16,6,5,9,0,96,10,32,45,14,17,7,26,20,0,177,59,47,57,17,45,10,31,27,4,299,91,69,67,35,49,25,38,30,7,396,55,52,33,27,43,17,36,22,3,292,41,7,4,0,12,4,11,5,0,94,9,0,0,0,0,0,4,0,4,19,3,0,0,0,0,0,0,0,0,7,274,222,260,125,182,108,155,142,18,1478
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11
501021012,6,5,61,47,14,155,7,79,4,373,26,23,150,59,53,66,34,69,11,495,86,125,303,97,149,105,126,143,22,1150,86,179,219,139,145,90,127,109,21,1109,117,146,178,113,163,107,153,112,14,1116,83,96,120,84,91,72,113,84,12,760,20,11,23,13,11,11,14,19,0,123,0,3,0,0,0,3,0,0,3,16,0,0,0,0,0,0,0,0,0,0,428,585,1052,555,637,603,571,622,93,5142
501021014,5,3,50,32,16,69,7,65,0,248,7,10,65,25,23,26,19,62,4,243,44,47,131,44,53,29,53,176,7,587,88,94,166,68,88,45,95,132,22,777,123,110,161,73,127,60,117,156,9,936,142,76,106,58,59,37,88,101,9,683,83,19,15,3,21,6,16,26,9,200,16,4,4,0,0,3,0,13,3,45,3,0,0,0,0,0,0,0,0,3,509,362,692,306,390,283,391,720,64,3726
501021015,7,3,24,21,10,66,3,45,0,177,12,12,64,30,29,42,13,53,0,264,48,109,179,68,76,62,57,97,10,699,53,73,114,57,80,50,64,69,7,568,58,82,97,60,110,58,70,87,8,633,54,72,80,57,80,40,62,64,5,505,12,12,16,8,13,7,12,23,6,112,0,7,3,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,247,367,571,311,393,322,277,434,42,2970
