SA2_MAINCODE_2016,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_inc_lt_rail_M,OneMeth_Tram_inc_lt_rail_F,OneMeth_Tram_inc_lt_rail_P,OneMeth_Taxi_M,OneMeth_Taxi_F,OneMeth_Taxi_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_inc_lt_rl_M,TwoMeth_Trn_Trm_inc_lt_rl_F,TwoMeth_Trn_Trm_inc_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_inc_lt_rl_M,TwoMeth_Bus_Trm_inc_lt_rl_F,TwoMeth_Bus_Trm_inc_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
501011001,0,0,0,13,4,16,0,0,0,0,0,0,0,0,0,694,649,1344,35,45,81,15,0,17,13,3,17,8,13,18,18,12,28,78,53,129,888,781,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,15,14,5,16,0,0,0,0,0,0,0,0,0,0,0,0,171,166,337,156,203,356,22,18,41,1245,1173,2415
501011002,0,0,0,70,14,79,0,0,0,0,0,0,12,10,15,3711,3635,7351,303,326,632,70,0,74,28,14,38,121,81,200,73,26,99,113,123,244,4509,4227,8733,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,4,0,0,3,3,0,4,5,3,8,54,21,73,68,25,87,0,0,0,3,0,3,0,0,0,4,0,8,162,338,500,604,748,1355,53,59,117,5400,5391,10796
501011003,3,3,3,25,8,30,3,0,3,0,0,0,0,0,0,1580,1352,2928,95,95,190,34,0,34,15,0,13,35,12,43,40,19,51,91,76,167,1912,1560,3467,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,16,11,23,21,13,32,0,0,0,3,0,3,4,0,4,8,0,8,218,334,543,284,339,622,27,32,60,2476,2263,4738
501011004,0,0,0,23,5,31,0,0,0,0,0,0,0,3,3,1414,1313,2730,92,123,216,24,0,24,9,0,9,48,24,72,35,8,40,83,88,171,1727,1563,3289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,11,10,24,19,15,31,0,0,0,0,0,0,0,0,0,0,0,0,139,199,340,294,371,665,29,28,54,2203,2179,4378
501021005,3,0,3,100,10,108,0,0,0,0,0,0,0,3,4,2752,2701,5453,238,187,425,43,0,43,40,7,44,26,7,31,49,15,63,33,33,68,3281,2965,6249,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,21,0,21,6,3,8,7,0,6,28,7,38,47,17,65,85,21,109,0,0,4,0,0,0,0,0,0,3,0,8,49,158,213,413,452,868,34,32,64,3864,3641,7506
501021007,0,0,0,14,0,10,0,0,0,0,0,0,0,0,0,784,778,1558,41,44,88,34,0,36,8,0,10,4,0,3,17,9,19,33,26,57,926,864,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,3,0,9,6,0,6,15,3,17,0,0,0,0,0,0,0,0,0,0,0,0,73,95,161,149,161,306,20,19,46,1173,1136,2313
501021008,0,0,0,20,7,32,0,0,0,0,0,0,0,6,6,966,850,1819,102,102,203,18,0,18,5,0,3,29,8,37,18,3,19,30,31,59,1184,1013,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,0,8,3,8,22,9,27,22,6,33,0,0,0,0,0,0,0,0,0,0,0,0,11,33,46,147,180,328,17,13,36,1391,1251,2643
501021009,0,0,0,64,10,67,0,0,0,0,0,0,0,0,0,1094,1008,2100,113,101,213,20,3,24,4,0,4,13,0,16,16,7,21,42,42,82,1369,1164,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,9,3,0,3,0,0,0,8,0,12,15,3,20,20,9,29,0,0,0,0,0,0,0,0,0,0,3,3,31,46,75,265,258,520,37,29,57,1716,1495,3216
501021010,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,521,452,974,27,32,58,11,0,17,8,3,7,3,4,3,15,0,14,17,12,31,610,510,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,61,80,147,99,99,197,5,6,15,783,698,1478
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,11
